,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,tot_correct,forfeit,defense
76-1-1,76,1,1,"What area, which sits along the eastern coast of Nicaragua and Honduras, is not named after an annoying pest (though they are abundant in the region), but rather for the indigenous people who have inhabited the area for centuries?",MOSQUITO COAST,GEOGRAPHY,95,89,85,76,59,64,76,3.8,1.3
76-1-2,76,1,2,"While the term is used loosely to refer to just about any brass instrument (cornet, trumpet, trombone, etc.), the word horn is also used in the name of what common modern woodwind instrument, whose plaintive and mournful sound is featured prominently in Wagner's Tristan and Isolde and Sibelius's The Swan of Tuonela?",COR ANGLAIS/ENGLISH HORN,CLASS MUSIC,58,45,34,23,13,19,29,3.8,1.6
76-1-3,76,1,3,"My Life, 32 Ways to Be a Champion in Business, and What You Can Do to Avoid AIDS are all books authored by what athlete?","EARVIN ""MAGIC"" JOHNSON",GAMES/SPORT,95,92,90,89,85,83,88,3.8,0.8
76-1-4,76,1,4,"The Russian nickname grozny (as in the Chechen capital) translates literally to ""awe-inspiring"" or ""formidable,"" but when applied in its best known historical reference, it is more commonly rendered in English as what?",TERRIBLE,WORLD HIST,68,51,38,25,13,18,32,3.8,1.7
76-1-5,76,1,5,"1-800-273-8255, a hit single by Logic featuring Alessia Cara and Khalid released in April 2017, is also the phone number for a hotline created for what purpose?",SUICIDE PREVENTION,POP MUSIC,85,81,79,76,74,74,77,3.8,1.2
76-1-6,76,1,6,"1991's Treaty of Asunción created a free trade bloc whose full members today are Argentina, Brazil, Paraguay, and Uruguay, and that goes by what name?",MERCOSUR,BUS/ECON,30,22,14,9,5,10,13,3.8,2.1
76-2-1,76,2,1,"Gosselin is the last name of the titular ten from what television series, which ran in this version from 2007 through 2009 (first on Discovery Health, and later on TLC)?",JON & KATE PLUS EIGHT,TELEVISION,87,78,75,69,61,64,71,3.5,0.9
76-2-2,76,2,2,"What English fashion designer, a former creative director at Chloé and (since 2001) owner of her own fashion house, uses no fur or leather in her collections—unusual for a high-end designer, though not surprising given her legacy?",STELLA MCCARTNEY,LIFESTYLE,73,61,52,42,30,38,46,3.5,1.6
76-2-3,76,2,3,"Although the action is officially recorded as a mere transfer of credentials, the United Nations General Assembly Resolution 2758 in October 1971 had the essential effect of expelling what member from the UN (with all subsequent readmission attempts failing thus far)?",TAIWAN/REPUBLIC OF CHINA,WORLD HIST,75,58,49,33,18,29,40,3.5,1.3
76-2-4,76,2,4,"What is the Arthurian equivalent of the Muslim Zulfiqar, the Japanese Kusanagi, the Persian Shamshir-e-Zomorrodnegar, the Norse Gram, and the Carolingian Durendal?",EXCALIBUR,LITERATURE,90,78,73,59,44,48,62,3.5,1.1
76-2-5,76,2,5,"Judith Slaying Holofernes (pictured), completed in the second decade of the 17th century, is widely believed to be an autobiographical representation of the artist's own rage against her mentor/rapist Agostino Tassi (as well as her horrible post-rape ordeal). Who is the artist of this work? Click here",ARTEMISIA GENTILESCHI,ART,33,21,14,8,4,9,13,3.5,2.5
76-2-6,76,2,6,"The unit of length equal to 1.616 229(38)×10-35 meters, the constant in quantum physics equal to 6.62607004×10-34 m2 kg/s, and the unit of temperature equal to 1.416 808(33)×1032 K (considered ""absolute hot"") are all named after what Nobel-winning German physicist?",MAX PLANCK,SCIENCE,81,69,58,48,32,41,52,3.5,1.3
76-3-1,76,3,1,"What is the most common term for a type of jet engine that does not require atmospheric oxygen for combustion, as all fuel is stored within the engine itself? The term is also used for a vehicle propelled by this type of engine.",ROCKET,SCIENCE,53,44,41,35,26,35,37,2.9,1.6
76-3-2,76,3,2,"The actor pictured here, who appears on the HBO series Westworld, is the older brother of two fellow actors. What last name do the three men share? Click here",HEMSWORTH,FILM,76,68,65,60,55,59,62,2.9,1.3
76-3-3,76,3,3,"Bougainville, Guadalcanal, and New Georgia—locations of battles in the Pacific theater during WWII—are all islands within what archipelago?",SOLOMON ISLANDS,GEOGRAPHY,66,46,34,21,10,21,29,2.9,2.0
76-3-4,76,3,4,What was the colorful term used by Jesse Jackson for the alliance of liberal and minority groups he constructed during his 1984 campaign for the Democratic presidential nomination?,RAINBOW COALITION,AMER HIST,96,92,90,81,60,70,79,2.9,1.4
76-3-5,76,3,5,"With the help of Trey Rogers, a professor of crop and soil sciences at Michigan State University, the Pontiac Silverdome became, on June 18, 1994, the first indoor facility to host a match for what tournament?",FIFA WORLD CUP,GAMES/SPORT,80,71,61,52,42,46,56,2.9,1.7
76-3-6,76,3,6,Name the chef and fiery television personality whose namesake restaurant in London's Chelsea neighborhood is one of only five Michelin three-starred restaurants in the United Kingdom.,GORDON RAMSAY,TELEVISION,95,92,89,88,84,86,89,2.9,0.7
76-4-1,76,4,1,"A pilot, who serves as narrator, crash lands in a desert and encounters a solitary, golden-haired young boy, who describes his life on his home planet and his visits to ten other mostly uninhabited planets. In time, the rose-loving boy leaves his corporeal body to return home. This is the framework for what fable published in 1943?",THE LITTLE PRINCE (LE PETIT PRINCE),LITERATURE,89,80,76,63,48,60,67,3.9,1.6
76-4-2,76,4,2,"Name the man who was sworn in on February 5, 2018, to replace Janet Yellen as chair of the board of governors of the U.S. Federal Reserve.",JEROME POWELL,CURR EVENTS,57,42,34,25,17,27,31,3.9,1.4
76-4-3,76,4,3,"(1) The Duke of Richelieu's capture of Port Mahon on the island of Minorca in June 1756; (2) The town of Bayonne, located at the confluence of the Nive and Adour rivers in southwest France; (3) the French verb manier (""to stir""); (4) an Old French term for ""egg yolk."" These are four possible etymologies for what word?",MAYONNAISE,FOOD/DRINK,73,62,51,38,24,38,44,3.9,1.7
76-4-4,76,4,4,"What is the sartorial term used in college athletics for a player who is held out of competition for a year, though continuing to attend practices and classes, and thus is granted an extra year of playing eligibility? The term in question can be used in this noun form, and also as a verb or an adjective.",REDSHIRT,GAMES/SPORT,91,86,85,79,75,74,81,3.9,1.0
76-4-5,76,4,5,"A state in Venezuela, a department in Colombia, and a capital city of another South American nation (the constitutional capital, not the de facto capital) are all named after an independence leader and compatriot of Simón Bolívar. Who was that man?",ANTONIO JOSÉ DE SUCRE,WORLD HIST,56,36,25,15,7,13,22,3.9,2.0
76-4-6,76,4,6,Homer and Margaret (née Wiggum) are the names of the parents of what American cartoonist?,MATT GROENING,TELEVISION,98,95,94,89,79,80,88,3.9,0.8
76-5-1,76,5,1,"Due to improved sales tracking information, albums (including, for example, the last eight released by Eminem) frequently debut at #1 on the Billboard 200 chart, but what artist was the first to accomplish this feat with Captain Fantastic and the Brown Dirt Cowboy in 1975?",ELTON JOHN,POP MUSIC,77,61,53,40,27,39,46,3.1,1.7
76-5-2,76,5,2,"What is the name of the organs in spiders (and other silk-producers) through which silk/gossamer is produced and released? In most spiders, they are located on the underside towards the rear, though in Spider-Man they appear to be in the wrists.",SPINNERETS,SCIENCE,69,58,47,36,25,36,42,3.1,1.8
76-5-3,76,5,3,"A tradition began in 1952 when Detroit hockey fans threw a particular item onto the ice that symbolized the eight playoff wins the team needed to capture the Stanley Cup (which the Red Wings were successfully able to do, without a single loss). What was that item?",OCTOPUS,GAMES/SPORT,86,79,73,66,57,59,68,3.1,1.3
76-5-4,76,5,4,What is represented by the yellow in this map? Click here,LOUISIANA PURCHASE,AMER HIST,76,70,67,64,58,57,64,3.1,0.9
76-5-5,76,5,5,"In 1873, a unification of municipalities on opposite banks of the Danube River formed what city, now its nation's capital?",BUDAPEST,GEOGRAPHY,89,82,74,60,39,52,63,3.1,1.5
76-5-6,76,5,6,"The autological term for what figure of speech and rhetorical device is derived from the Greek words for ""sharp"" and ""dull""?",OXYMORON,LANGUAGE,76,63,53,42,30,38,47,3.1,1.6
76-6-1,76,6,1,"""Lost bread"" is the literal translation of pain perdu, which is best known in English as what?",FRENCH TOAST,FOOD/DRINK,81,66,57,44,30,41,50,2.9,1.0
76-6-2,76,6,2,"What was the common name for the tactical short-range ballistic missiles, developed during the Cold War by the Soviet Union, that Iraq used extensively against coalition forces during the Gulf War?",SCUD,WORLD HIST,93,87,83,72,55,62,73,2.9,1.0
76-6-3,76,6,3,"Name the pop group pictured here, reportedly the most tweeted-about celebrity in 2017? Click here",BTS,POP MUSIC,20,14,10,9,7,13,11,2.9,1.8
76-6-4,76,6,4,Tiny people living beneath the floorboards and within the walls of a large house are the subject—and give their name to the title—of what 1952 novel by English author Mary Norton?,THE BORROWERS,LITERATURE,67,61,51,41,29,42,46,2.9,1.7
76-6-5,76,6,5,"Name the comedian and actress whose Broadway debut was in 1959's Once Upon a Mattress, and who also appeared as a regular on the sitcom Stanley beginning in 1956 and won an Emmy working on The Garry Moore Show before superstardom on her own namesake variety series.",CAROL BURNETT,TELEVISION,85,77,69,59,44,52,62,2.9,1.3
76-6-6,76,6,6,"While none of the Great Lakes are located entirely within Canada, the two largest lakes with that distinction (entirely within Canada) are ""Great"" lakes in their own right. Please name both.","GREAT BEAR LAKE, GREAT SLAVE LAKE",GEOGRAPHY,58,41,27,16,8,17,24,2.9,2.0
76-7-1,76,7,1,"What is the term in mathematics for a positive integer that is equal to the sum of its proper divisors (i.e., its divisors not including the number itself)? The first such number is 6 (1+2+3); the next four are 28, 496, 8,128, and 33,550,336.",PERFECT NUMBER,MATH,78,64,57,47,35,36,50,2.8,1.8
76-7-2,76,7,2,"Finland's KONE, Germany's Thyssenkrupp, the U.S.'s Otis, Switzerland's Schindler, and Japan's Mitsubishi Electric are considered the ""Big Five"" manufacturers of what?",ELEVATORS,BUS/ECON,98,94,90,85,70,72,83,2.8,1.2
76-7-3,76,7,3,"Name the international evangelical and charitable organization, founded in London in 1865 by William Booth, which is known today for its assistance to the poor and homeless and its insistence that its ""officers"" abstain from alcohol, smoking, and gambling?",SALVATION ARMY,WORLD HIST,99,96,93,88,70,80,86,2.8,1.1
76-7-4,76,7,4,The individual pictured here is the mascot for what fictional corporation? Click here,STAY PUFT,FILM,92,88,85,78,67,69,78,2.8,0.9
76-7-5,76,7,5,Pruritus is a medical term for the reflex-inducing sensation—typically a symptom as opposed to a condition in itself—that is best known as what?,ITCH,SCIENCE,56,41,32,25,16,28,30,2.8,1.8
76-7-6,76,7,6,"The real-life on-stage and off-stage arguments of married actors Alfred Lunt and Lynn Fontanne, particularly during a 1935 performance of Taming of the Shrew, inspired what Cole Porter musical, which won the first Tony Award for Best Musical in 1949?","KISS ME, KATE",THEATRE,81,66,51,38,19,32,43,2.8,2.1
76-8-1,76,8,1,"A rivalry between two competing factions in Baltimore for the title of ""Filthiest People Alive"" forms the basis of what 1972 movie, which a contemporaneous review in Variety described as ""one of the most vile, stupid and repulsive films ever made""?",PINK FLAMINGOS,FILM,67,52,40,28,16,28,35,3.1,1.8
76-8-2,76,8,2,"In this image, a hemidemisemiquaver is represented by what letter? Click here",A,CLASS MUSIC,95,87,80,67,49,60,70,3.1,1.6
76-8-3,76,8,3,"Similia similibus curentur, a Latin phrase that translates to ""like cures like,"" forms the basis of a doctrine underpinning a holistic approach to medicine proposed in the late 18th century by German physician Samuel Hahnemann that is known by what name?",HOMEOPATHY,SCIENCE,86,74,67,55,42,54,60,3.1,1.5
76-8-4,76,8,4,"ɖ, ɛ, ɸ ɣ, ɭ, ɲ, ɳ, ɽ, ʊ, ʒ, and ʘ are among the characters in an ""international alphabet"" known as IPA. What does the letter P in IPA stand for?",PHONETIC,LANGUAGE,90,86,81,76,65,72,77,3.1,1.2
76-8-5,76,8,5,"In U.S. history, there have been three elections to recall state governors. The first two were successful—Lynn Frazier (North Dakota, 1921) and Gray Davis (California, 2003)—while the third was unsuccessful. Name either the governor in the third instance (from 2012) or the state he continues to govern.","SCOTT WALKER, WISCONSIN",AMER HIST,84,75,67,58,43,51,60,3.1,1.2
76-8-6,76,8,6,"Training Camp, Goblin Stadium, Bone Pit, Barbarian Bowl, P.E.K.K.A's Playhouse, Spell Valley, and Builder's Workshop are among the battleground ""arenas"" used in what massively popular hybrid deck-building/tower defense mobile game?",CLASH ROYALE,GAMES/SPORT,11,13,8,7,8,10,9,3.1,1.4
76-9-1,76,9,1,Fill in the two-word blank in the following question asked in a famous 1989 Guerrilla Girls poster that parodies Jean-Auguste-Dominique Ingres's Grande Odalisque: Do women have to _____ _____ to get into the Met. Museum?,BE NAKED,ART,49,36,29,22,13,22,26,3.9,2.0
76-9-2,76,9,2,"The Follies of 1907 was the first in a long-lived series of flamboyant revues by what American producer, who added his name to the series in 1911 and presented it annually through 1927 (and intermittently thereafter)?","FLORENZ ZIEGFELD, JR.",THEATRE,85,74,60,44,25,39,50,3.9,1.6
76-9-3,76,9,3,"In the Warriors series of children's novels by Erin Hunter, what type of animal are the ""warriors""?",CATS,LITERATURE,40,32,28,20,18,27,26,3.9,1.7
76-9-4,76,9,4,What two-word slogan and ideological term was used as the title of a 1954 book by Richard Wright and was later popularized by Stokely Carmichael during his time as Chairman of the Student Nonviolent Coordinating Committee (SNCC) before evolving into a broader (and potent) political movement?,BLACK POWER,AMER HIST,73,64,51,37,21,39,44,3.9,1.2
76-9-5,76,9,5,"Following his departure as chairman of Walt Disney Studios, Jeffrey Katzenberg joined fellow industry titans Steven Spielberg and David Geffen to form what film studio?",DREAMWORKS (SKG),FILM,93,84,79,66,51,61,70,3.9,0.6
76-9-6,76,9,6,"What Yiddish term for ""spectator"" is used in games such as chess for the practice, often highly frowned upon, of making comments that can be heard by the players?",KIBITZ/KIBITZER,GAMES/SPORT,71,62,49,39,23,31,43,3.9,1.4
76-10-1,76,10,1,"The term for what dance (and practitioner of such a dance) probably comes from the title of a 1934 Cab Calloway song, whose lyrics describe individuals consuming excessive amounts of alcohol (and the effects thereof)?",JITTERBUG,POP MUSIC,62,49,41,34,22,33,38,3.6,1.7
76-10-2,76,10,2,"In a popular short story from 1820, a strong and mischievous prankster known as Brom Bones is (probably) responsible for the alleged appearance in a Dutch Hudson River town of a Hessian soldier's haunting spirit. This spirit is best known as what?",HEADLESS HORSEMAN,LITERATURE,94,89,85,76,57,70,76,3.6,1.0
76-10-3,76,10,3,"What English word comes from the Latin for ""suffering"" and matches that definition when used in certain religious and artistic contexts, but has an altogether different (and perhaps opposite) meaning when used elsewhere?",PASSION,LANGUAGE,55,44,40,33,19,29,34,3.6,1.4
76-10-4,76,10,4,"Identify the man in this photograph taken on February 23, 2018. Click here",RICK GATES,CURR EVENTS,51,40,36,30,20,25,32,3.6,1.2
76-10-5,76,10,5,"The purely political purchases—in 1699 and 1712, respectively—of the Lordship of Schellenberg and County of Vaduz resulted in the formation of what modern-day sovereign state?",LIECHTENSTEIN,WORLD HIST,85,71,63,47,32,39,52,3.6,1.7
76-10-6,76,10,6,"If the fictional metallic element vibranium actually existed, it would probably have the symbol Vb or Vi, since the symbol V is already in use for what other rare metal?",VANADIUM,SCIENCE,77,63,51,39,25,38,45,3.6,1.6
76-11-1,76,11,1,"What French philosopher and chief editor of the Encyclopédie, who regularly published reports on the exhibitions of the French Academy (known as Salons) in Correspondance littéraire beginning in 1759, is widely considered the founder of art criticism?",DENIS DIDEROT,ART,51,33,26,14,5,15,21,4.5,2.0
76-11-2,76,11,2,"When dividing two numbers, the number that is divided is the ""dividend,"" whereas the number the dividend is being divided by is the ""divisor."" What term, from a Latin adverb for ""how many times,"" is used for the quantity that is a result of the division?",QUOTIENT,MATH,90,82,78,71,60,68,73,4.5,0.9
76-11-3,76,11,3,"What is the name of the legal and theological document, with 28 editions published between 1487 and 1600, that was accepted for centuries by Roman Catholics and Protestants as an authoritative source on sorcery and satanism, and as a guide to Christian defense? (Either the original Latin title or the common English translation is acceptable.)",MALLEUS MALEFICARUM/HAMMER OF WITCHES,LITERATURE,37,22,17,10,4,13,15,4.5,2.1
76-11-4,76,11,4,"Complete the following quote which concludes a speech given by William Jennings Bryan at the Democratic National Convention in Chicago on July 9, 1896. ""Having behind us the producing masses of this nation and the world, supported by the commercial interests, the laboring interests, and the toilers everywhere, we will answer their demand for a gold standard by saying to them: You shall not press down upon the brow of labor this crown of thorns, you shall not crucify mankind upon a ___________.""",CROSS OF GOLD,AMER HIST,90,82,70,51,32,47,58,4.5,1.3
76-11-5,76,11,5,It is smaller (about three feet high); its pillar is curved outward instead of straight; it has brass strings that are plucked with the fingernails; it lacks pedals. These characteristics distinguish the Irish from the concert version of what instrument?,HARP,CLASS MUSIC,98,94,92,87,78,85,88,4.5,0.9
76-11-6,76,11,6,"Following scandals involving an affair with a staff member and an allegation of sexual harassment, Barnaby Joyce resigned in February as deputy prime minister and National Party leader of what country?",AUSTRALIA,CURR EVENTS,79,69,63,55,45,54,59,4.5,1.2
76-12-1,76,12,1,The gentleman pictured here is a citizen of—and is representing—what nation? Click here,TONGA,GAMES/SPORT,91,84,83,73,64,67,75,2.9,0.9
76-12-2,76,12,2,"What is the botanical term—often used as a synonym of ""stone fruit""—for a one-seeded fruit with a hardened innermost layer (endocarp or ""pit,"" ""stone,"" etc.), a fleshy middle layer (mesocarp), and thin skin (exocarp)? Examples include peaches, plums, cherries, mangoes, olives, and almonds.",DRUPE,SCIENCE,47,32,20,14,7,17,20,2.9,1.9
76-12-3,76,12,3,"The Naval Criminal Investigative Service has a dozen primary Field Offices in the United States, but not one in either of the cities that provide the primary settings for spinoffs of the TV series NCIS (though the cities are served by the Southwest and Southeast Field Offices, respectively). What are those two cities?","LOS ANGELES, NEW ORLEANS",TELEVISION,71,57,49,41,30,38,45,2.9,1.1
76-12-4,76,12,4,"A trick-taking card game played by four people with a deck from which the 8s, 9s, and 10s have been removed, whose peak popularity sits chronologically between Ombre and Whist in the 18th and 19th centuries, shares a name with a ballroom dance  of roughly the same era performed by four couples in a square formation. What is that name?",QUADRILLE,LIFESTYLE,37,24,18,11,5,9,15,2.9,2.2
76-12-5,76,12,5,Name the man who served for the longest period as prime minister of Israel between Benjamin Netanyahu's first term of office (which ended in 1999) and his second (and current) term?,ARIEL SHARON,WORLD HIST,62,55,47,39,28,37,42,2.9,1.6
76-12-6,76,12,6,"A gastronomic society for the promotion of a particular dish, a cornmeal preparation that is a basic dish of northern Italy, has a motto that exclaims, ""Per Patria Prima Per [this] Poi!"" (""First for homeland, then for [this]!"") What is this dish?",POLENTA,FOOD/DRINK,90,85,81,73,59,68,74,2.9,1.1
76-13-1,76,13,1,"The Tabqa Dam on the Euphrates River, completed in 1973, created Lake Assad, which is the largest lake in what country?",SYRIA,GEOGRAPHY,84,72,66,54,42,55,60,3.5,1.1
76-13-2,76,13,2,"Name the baseball player who, in 2017, set records for most extra-base hits (8) and total bases (29) in a single World Series while tying the record for most home runs (5).",GEORGE SPRINGER,GAMES/SPORT,42,28,22,17,13,19,22,3.5,1.4
76-13-3,76,13,3,"Give the title of any one of the three films—from 1992, 1996, and 2001—that have come to be known as the ""Red Curtain Trilogy."" Although unrelated in terms of plot, they share the same director (his first three films) and lavishly incorporate traditional theatrical conventions and lush imagery.","STRICTLY BALLROOM, ROMEO + JULIET, MOULIN ROUGE!",FILM,60,49,43,32,25,36,38,3.5,1.4
76-13-4,76,13,4,What portmanteau arose from a governor of Massachusetts during the 1810s and his partisan political activity that evoked a particular amphibian?,GERRYMANDER,AMER HIST,94,85,82,68,47,58,69,3.5,1.0
76-13-5,76,13,5,"What is the name of the revolutionary literary movement of late-18th-century Germany, a short-lived and intensely emotional precursor to Romanticism named after a 1776 play by Friedrich Maximilian Klinger, which rejected classicism in favor of artistic creativity and subjective feeling?",STURM UND DRANG,LITERATURE,49,29,20,11,5,12,18,3.5,2.3
76-13-6,76,13,6,"What is the name of the extract from the stomach of a young animal (particularly a calf or lamb) that contains an enzyme that causes the milk protein casein to curdle, and is therefore used in the manufacture of some cheeses?",RENNET,FOOD/DRINK,69,57,50,41,28,38,45,3.5,1.5
76-14-1,76,14,1,"Among the most famous works of English poet John Keats are a set of six odes composed in 1819. They are odes on a Grecian Urn, on Indolence, on Melancholy, to Psyche, to Autumn, and to what bird?",NIGHTINGALE,LITERATURE,82,69,55,38,21,40,46,3.2,1.5
76-14-2,76,14,2,"A term in operations management for a methodology that uses statistical analysis and a data-based approach to improve business processes takes its name from a rating used to report the percentage of defects in a manufacturing process. The term is also used for certification (with high levels earning ""black belts""). What is this term?",SIX SIGMA,BUS/ECON,66,58,55,51,44,46,52,3.2,1.4
76-14-3,76,14,3,"The irregularity of spelling in English and need for orthographic reform have been famously demonstrated in a mischievous re-spelling of ""fish"" incorrectly attributed to George Bernard Shaw. What is the correct spelling of that novel five-letter word?",GHOTI,LANGUAGE,68,53,38,28,15,25,34,3.2,1.6
76-14-4,76,14,4,Pictured here is a canvas from the Ocean Park series by what Californian abstract expressionist painter? Click here,RICHARD DIEBENKORN,ART,13,9,5,4,2,5,5,3.2,2.5
76-14-5,76,14,5,"The electronic musician and DJ born Richard Melville Hall was named in part after his famous author great-great-great-granduncle, and his nickname also references that ancestor. What is Hall's nickname (and stage name)?",MOBY,POP MUSIC,97,92,87,79,60,72,79,3.2,0.9
76-14-6,76,14,6,"Abu Dhabi, UAE; Suzhou, China; Delft, The Netherlands; Nevyansk, Russia; Suurhusen, Germany; Bad Frankenhausen, Germany; and Bologna, Italy, all have structures with a characteristic most famously associated with a structure in what other Italian city?",PISA,GEOGRAPHY,90,86,81,79,70,70,78,3.2,0.9
76-15-1,76,15,1,Meryl Streep has been nominated for an Academy Award for Best Actress 17 times (including for 2017's The Post) and has won the award twice. Name any one of the five actresses who have been nominated for that award exactly two times and won it twice.,"SALLY FIELD, VIVIEN LEIGH, FRANCES MCDORMAND, LUISE RAINER, HILARY SWANK",FILM,73,58,49,40,29,38,45,4.0,1.0
76-15-2,76,15,2,"Name the writer, social critic, and two-time Pulitzer-winner who cofounded the alternative newsweekly The Village Voice and ran unsuccessfully for mayor of New York in 1969.",NORMAN MAILER,LITERATURE,57,40,25,16,8,19,24,4.0,1.7
76-15-3,76,15,3,"In his Groundwork of the Metaphysics of Morals, Immanuel Kant introduced the philosophical theory with which he is most closely associated—similar (but not identical) to the ""Golden Rule""—which states (in part) that a person must act in ways that the person would wish everyone else would act in too. By what two-word term is this concept best known?",CATEGORICAL IMPERATIVE,LIFESTYLE,59,46,37,25,15,27,32,4.0,1.6
76-15-4,76,15,4,"Among the named properties of equalities in mathematics are the transitive property (if a=b and b=c, then a=c), the symmetric property (if a=b, then b=a), and what other property, which states that any quantity is equal to itself (a=a)?",REFLEXIVE PROPERTY,MATH,56,43,38,30,25,32,35,4.0,1.1
76-15-5,76,15,5,"A certain term used to represent, both geographically and culturally, a particular region of the United States is possibly (and plausibly) a corruption of the name of an English surveyor born in 1733. What is that term?",DIXIE,AMER HIST,62,41,31,20,10,21,28,4.0,1.3
76-15-6,76,15,6,"This image is a close-up on the face of an individual who is doing what, per the sculpture's common titles? Click here",DYING,ART,31,24,18,13,8,13,16,4.0,2.0
76-16-1,76,16,1,"Led by Johann Stamitz, a group of mid-18th-century composers, who played an important role in the development of the modern orchestra and classical symphony form, are associated with a ""school"" based in what southwestern German city? Musically, the city may today be more closely associated with new-age and prog Christmas music.",MANNHEIM,CLASS MUSIC,76,59,51,39,22,34,43,4.7,1.6
76-16-2,76,16,2,"Working-class Tory supporter and generally rude misogynist Alf Garnett, a fictional character on the British sitcom Till Death Us Do Part, was an inspiration for the creation of what American sitcom character, who appeared on television throughout the 1970s and into the 1980s?",ARCHIE BUNKER,TELEVISION,93,90,85,77,61,67,77,4.7,0.9
76-16-3,76,16,3,"Sir Humphrey DavyAbominated gravy.He lived in the odiumOf having discovered Sodium.This verse is an example of a form known as what, after its inventor Edmund C. Bentley (who wrote the above)?",CLERIHEW,LITERATURE,24,14,5,3,1,6,7,4.7,2.1
76-16-4,76,16,4,"In September 2017, the United Nations–backed Permanent Peoples' Tribunal found Myanmar guilty of genocide against what people in the country's Rakhine State?",ROHINGYA,CURR EVENTS,82,78,74,66,50,60,66,4.7,1.1
76-16-5,76,16,5,"The Rock & Roll Hall of Fame in Cleveland, the Bank of China Tower in Hong Kong, and Le Pyramide du Louvre in Paris are iconic works of what architect?",I.M. PEI,ART,95,88,82,70,46,57,70,4.7,1.5
76-16-6,76,16,6,"A quantity, such as velocity, momentum, or force, that has both magnitude and direction, is known as a vector. What is the accompanying term used for a quantity, such as mass, length, temperature, or speed, whose only property is magnitude (or numerical value)?",SCALAR,SCIENCE,66,53,46,38,31,34,43,4.7,1.3
76-17-1,76,17,1,The historical name for a 1521 meeting that occurred between Martin Luther and Holy Roman Emperor Charles V in a city on the banks of the River Rhine could be read in English as a rather unappetizing nutritional regimen. What is that name?,DIET OF WORMS,WORLD HIST,93,82,71,54,27,42,57,3.7,1.7
76-17-2,76,17,2,"Major Key Alert, Bless Up, Anotha One, Give Thanks to the Most High and We the Best are all phrases associated with what pop music hitmaker and Snapchat staple?",DJ KHALED,POP MUSIC,52,42,39,35,33,41,39,3.7,1.2
76-17-3,76,17,3,"Although it's commonly known as hara-kiri or sometimes ""happy dispatch,"" what is the standard Japanese term for the suicidal disembowelment practiced by an individual in serious disgrace? The term comes from the Japanese words for ""to cut"" and ""abdomen.""",SEPPUKU,LANGUAGE,91,84,79,67,52,64,70,3.7,1.3
76-17-4,76,17,4,"What is the common title of the person in a theatrical production who is responsible for the overall execution of the production, organizing schedules, running production meetings, keeping track of blocking, and calling sound and lighting cues during the performance (among many other duties)?",(PRODUCTION) STAGE MANAGER,THEATRE,77,72,64,56,49,57,60,3.7,1.2
76-17-5,76,17,5,A single word has been redacted from the top of each of these three posters (covered by red boxes). What is the word? (The blue boxes conceal examples of the word in question.) Click here,GYROS,FOOD/DRINK,8,6,4,3,2,3,4,3.7,1.9
76-17-6,76,17,6,"What is the scientific term, one of the three components of Ohm's law (along with current and resistance), that is used most commonly for the difference in potential energy between two points in an electrical field?",VOLTAGE,SCIENCE,77,65,58,52,45,53,56,3.7,1.3
76-18-1,76,18,1,"Two giants of beach volleyball—UCLA graduates and former teammates-turned-rivals who dominated the sport in the '80s and '90s—had the last names of Smith and Kiraly. Their given first names were Christopher and Charles, but they were better known by other names. Give either one.","SINJIN, KARCH",GAMES/SPORT,55,42,34,26,18,24,31,3.7,1.7
76-18-2,76,18,2,"Gary Oldman, Christopher Lee, Frank Langella, Gerard Butler, and Leslie Nielsen have all portrayed a character on film who, perhaps most definitively, was portrayed in a 1931 film by what other actor?",BELA LUGOSI,FILM,80,72,63,51,30,45,54,3.7,1.0
76-18-3,76,18,3,"99/70 (""Ninety-nine seventieths"") is a frequently used rational approximation for an irrational number that is most commonly referred to as what?",SQUARE ROOT OF TWO,MATH,58,43,36,29,20,27,33,3.7,1.3
76-18-4,76,18,4,What is the only African country that shares a land border with a European country?,MOROCCO,GEOGRAPHY,84,75,70,61,49,58,64,3.7,1.2
76-18-5,76,18,5,"Beginning in the mid-19th century, most Sioux peoples were organized within one of three loose confederations: the Santee-Sioux, the Yankton-Sioux, and the Teton-Sioux. These confederations are also known by alternate names, all of which rhyme. Give any one of these other three names for the Sioux confederations.","DAKOTA, NAKOTA, LAKOTA",AMER HIST,79,64,51,37,22,37,44,3.7,1.6
76-18-6,76,18,6,"What cultural and artistic movement was founded in the 1920s by French writer André Breton and defined in his 1924 ""Manifesto,"" in which he laid out the nonconformist and unconscious—and at times absurdist—method by which art is created in the movement, with absence of reason or aesthetic concern?",SURREALISM,ART,60,41,32,23,16,28,30,3.7,1.9
76-19-1,76,19,1,Two of the top 15 films that have opened in 2018 so far (as measured by U.S. gross box office earnings) have titles that include a color. One is Black Panther; what is the other?,RED SPARROW,FILM,78,68,67,58,52,63,63,3.4,1.1
76-19-2,76,19,2,"""No three positive integers a, b, and c satisfy the equation an + bn = cn for any integer value of n greater than 2.""This mathematical statement is associated with British mathematician and Oxford professor Sir Andrew Wiles, but even moreso with what Frenchman?",PIERRE DE FERMAT,MATH,73,58,45,33,24,25,40,3.4,1.8
