index,season,matchday,qnum,question,answer,category,A_correct,B_correct,C_correct,D_correct,E_correct,R_correct,Champ_correct,tot_correct,defense,forfeit,mcw,mcw_pct,date
70-23-2,70,23,2,"A mountain straddling the Switzerland/Italy border is known as Monte Cervino and Mont Cervin in Italian and French, respectively. By what name is it best known in German (and in English, most often)?",MATTERHORN,GEOGRAPHY,96,93,88,77,57,73,,78,1.4,3.4,,,27-Sep-16
70-23-3,70,23,3,"In the New Testament Matthew 14, the daughter of Herodias (not named in the Bible but later identified as Salome) so pleases Herod with her dancing that he offers to grant her any wish. She replies that she wants whose what (which is then delivered to her on a platter)?",THE HEAD OF JOHN THE BAPTIST,LIFESTYLE,88,78,73,60,42,61,,63,1.5,3.4,,,27-Sep-16
70-23-4,70,23,4,"The Washington, DC, building that houses the headquarters of the U.S. Department of Labor was completed in 1975 and, in 1980, formally named after what pioneering woman, on the 100th anniversary of her birth?",FRANCES PERKINS,AMER HIST,58,36,23,15,7,18,,22,1.9,3.4,SUSAN B. ANTHONY,28,27-Sep-16
70-23-5,70,23,5,"The Sun Also Rises, The Bell Jar, Look Homeward, Angel, and The Lords of Disclipline are examples of works of what literary form? The term dates to 17th-century France and describes a work that portrays identifiable characters thinly disguised as fictional characters.",ROMAN À CLEF,LITERATURE,79,61,47,31,12,29,,38,1.9,3.4,ALLEGORY,11,27-Sep-16
70-23-6,70,23,6,"Before embarking on a successful solo career in 2004 (in music as well as fashion), Gwen Stefani served for the previous eighteen years as a vocalist and songwriter for what California-based rock band?",NO DOUBT,POP MUSIC,95,92,90,88,84,87,,88,0.7,3.4,,,27-Sep-16
70-24-1,70,24,1,"Journalist Ta-Nehisi Coates, poet Ellen Bryant Voigt, photographer LaToya Ruby Frazier, and playwright Lin-Manuel Miranda are among the 2015 recipients of the fellowship awarded by the private John D. and Catherine T. MacArthur Foundation. This prestigious prize is best known, colloquially, as what?",GENIUS GRANT,LITERATURE,93,88,85,76,60,68,,76,1,3.5,PULITZER,6,28-Sep-16
70-24-2,70,24,2,"Who portrayed the characters Mars Blackmon in She's Gotta Have It (1986), Half-Pint in School Daze (1988), Mookie in Do the Right Thing (1989), and Snuffy in Crooklyn (1994)?",SPIKE LEE,FILM,90,86,77,68,50,61,,69,1.2,3.5,,,28-Sep-16
70-24-3,70,24,3,"Grey's Anatomy, Private Practice, and Scandal are (or were) all successful network series created and produced by what television mogul?",SHONDA RHIMES,TELEVISION,80,74,66,59,50,56,,62,1.2,3.5,AARON SPELLING,6,28-Sep-16
70-24-4,70,24,4,"Until relatively recently, this name was most closely associated with the sister and wife of Osiris and mother of Horus in the Egyptian pantheon (or, perhaps, a DC Comics superheroine). What is that name?",ISIS,LIFESTYLE,98,94,91,80,63,74,,80,1.2,3.5,,,28-Sep-16
70-24-5,70,24,5,"Who painted The Bus (pictured), which satirizes class divisions in Mexican society while recording a moment before a terrible accident that occurred in September 1925? Click here",FRIDA KAHLO,ART,74,68,60,54,47,52,,57,2.2,3.5,DIEGO RIVERA,22,28-Sep-16
70-24-6,70,24,6,"In the early 2000s, the Women's Health Initiative, launched by the U.S. National Institutes of Health, as well as the Million Women Study conducted in the UK, both found an increase in the likelihood of developing breast cancer (and other ailments) among women who were undergoing what treatment, resulting in a precipitous drop in its use?",HORMONE REPLACEMENT THERAPY (HRT),SCIENCE,65,56,49,47,37,45,,48,1.9,3.5,BOTOX,9,28-Sep-16
70-25-1,70,25,1,Identify the baseball star pictured here. Click here,MIKE TROUT,GAMES/SPORT,55,51,46,40,34,39,,42,1.4,3.6,BRYCE HARPER,6,29-Sep-16
70-25-2,70,25,2,"Upon the completion of its full route in 1889, what were the eastern and western terminuses of the original passenger train service dubbed the Orient Express? (Note: two cities required in answer.)","PARIS, ISTANBUL",GEOGRAPHY,81,68,50,36,18,39,,44,1.7,3.6,,,29-Sep-16
70-25-3,70,25,3,This is an example of a cosmetic applicator designed and marketed for the application of what? Note that the term itself is edited from the photo. Click here,(LIQUID) EYELINER,LIFESTYLE,81,77,75,74,77,77,,76,0.9,3.6,MASCARA,16,29-Sep-16
70-25-4,70,25,4,"An equilateral triangle has all sides of equal length, while an isosceles triangle has exactly two sides the same length. What's the accompanying term for any triangle with all sides of different lengths?",SCALENE,MATH,93,83,77,64,48,61,,67,1.3,3.6,,,29-Sep-16
70-25-5,70,25,5,"What is the two-word title customarily conferred by a British monarch on his or her eldest daughter? There have officially been seven such title-holders, including the incumbent Anne, the oldest daughter of Elizabeth II (and her second eldest child after Charles).",PRINCESS ROYAL,WORLD HIST,64,45,33,19,9,28,,29,1.8,3.6,CROWN PRINCESS,14,29-Sep-16
70-25-6,70,25,6,"What smash hit song, the biggest in the career of country music group Little Big Town, won both the Song of the Year and Single of the Year at the CMA Awards in 2015, as well as the Best Country Song at the 2016 Grammys (losing to Ed Sheeran's ""Thinking Out Loud"" for Song of the Year Grammy)?",GIRL CRUSH,POP MUSIC,34,22,15,13,9,20,,17,1.6,3.6,,,29-Sep-16
71-1-1,71,1,1,"The culinary term ""affogato"" normally refers to a dessert topped (or ""drowned"") with what?",ESPRESSO/COFFEE,FOOD/DRINK,68,64,53,47,37,43,,49,1,4.7,CREAM,17,14-Nov-16
71-1-2,71,1,2,"What was the real name of the FBI Special Agent and one-time Deputy Director of the Bureau who was revealed in 2005 to be the secret Watergate informant ""Deep Throat""?",W. MARK FELT,AMER HIST,86,66,51,36,16,29,,42,1.2,4.7,,,14-Nov-16
71-1-3,71,1,3,"Thiamine, riboflavin, niacin, pantothenic acid, pyridoxine, biotin, folic acid, and cobalamin form a dietary group of eight that is known collectively as what?",VITAMIN B COMPLEX,SCIENCE,87,75,66,53,38,44,,57,1,4.7,AMINO ACIDS,13,14-Nov-16
71-1-4,71,1,4,"Badaro, Raouché, Gemmayzeh, Saifi Village, Centre Ville (The Central District) and Wadi Abu Jamil are all neighborhoods or districts within what city on the eastern coast of the Mediterranean Sea?",BEIRUT,GEOGRAPHY,75,68,56,45,25,40,,48,1.6,4.7,ISTANBUL,11,14-Nov-16
71-1-5,71,1,5,"What New Orleans-born (and jazz and blues-influenced) singer and civil rights activist, who died in 1972, was dubbed the ""Queen of Gospel""? In fact, her 1955 album was titled The World's Greatest Gospel Singer.",MAHALIA JACKSON,POP MUSIC,61,45,35,24,11,22,,30,1.9,4.7,ELLA FITZGERALD,9,14-Nov-16
71-1-6,71,1,6,"What was the nickname of the fictional literary character David Wilson, a young lawyer in pre-Civil War Dawson's Landing, Missouri, whose eccentric hobby of collecting fingerprints eventually helps him solve his novel's central murder?",PUDD'NHEAD,LITERATURE,65,42,26,15,5,12,,23,1.9,4.7,,,14-Nov-16
71-2-1,71,2,1,The style of tailored overcoat like the example seen here is colloquially named after what world leader? Click here,JAWAHARLAL NEHRU,LIFESTYLE,83,74,64,51,28,40,,53,1,4.1,MAO,26,15-Nov-16
71-2-2,71,2,2,"In mathematics, a function is a non-empty set of ordered pairs of which no two can have the same first element. The set of all first elements in a function's ordered pairs is the domain, while the set of all second elements is the what?",RANGE/CODOMAIN,MATH,76,66,63,56,47,53,,58,1.5,4.1,,,15-Nov-16
71-2-3,71,2,3,The title of a 1976 live album by the rock band Rush references the first line of a soliloquy by the melancholy traveler Jaques in Shakespeare's As You Like It. What is that line?,ALL THE WORLD'S A STAGE,LITERATURE,81,65,47,36,20,32,,42,1.6,4.1,,,15-Nov-16
71-2-4,71,2,4,"A unit of acceleration, used in geological surveying and elsewhere, which is defined as one centimeter per second squared (1 cm/s2), is named (appropriately) after what mathematician and physicist?",GALILEO GALILEI,SCIENCE,36,22,14,8,3,8,,13,1.6,4.1,NEWTON,37,15-Nov-16
71-2-5,71,2,5,What titular television character was employed as an investigative journalist for the fictional newsmagazine program FYI?,MURPHY BROWN,TELEVISION,88,76,70,58,43,48,,61,1.2,4.1,VERONICA MARS,6,15-Nov-16
71-2-6,71,2,6,"The ANA Inspiration, an event of the LPGA Tour and one of the five major championships of women's professional golf, was for many years hosted by and named after what singer, talk-show personality, and Chevrolet pitchwoman?",DINAH SHORE,GAMES/SPORT,65,47,37,27,17,22,,32,1.7,4.1,DOLLY PARTON,7,15-Nov-16
71-3-1,71,3,1,"While sloe gin is a liqueur made by infusing gin with berries of the sloe bush, gin itself is a liquor flavored predominantly by the berries of what other, coniferous plant?",JUNIPER,FOOD/DRINK,97,93,90,81,68,78,,82,0.9,3,PINE,6,16-Nov-16
71-3-2,71,3,2,The landing operations (specifically) for the largest seaborne invasion in history—the June 1944 Allied assault of the French region of Normandy—were fittingly codenamed after what Roman deity?,NEPTUNE,WORLD HIST,86,82,75,65,48,59,,66,1.1,3,POSEIDON,8,16-Nov-16
71-3-3,71,3,3,"Give the full name (given name and surname) of the composer and violin teacher who wrote several concertos and symphonies, including Die musikalische Schlittenfahrt (but perhaps not the ""Toy Symphony"" sometimes credited to him), and became court violinist at Salzburg in 1743, though he's surely most famous as a musical dad.",LEOPOLD MOZART,CLASS MUSIC,57,39,29,21,10,16,,25,2.4,3,,,16-Nov-16
71-3-4,71,3,4,The transfer of what musical from London's West End to Broadway in 1991 proved difficult in part because few New York houses are large enough to accommodate a set that includes a life-size helicopter?,MISS SAIGON,THEATRE,91,83,76,65,48,54,,66,1.5,3,,,16-Nov-16
71-3-5,71,3,5,"What is the medical term for the inflammation, caused most often by a viral infection, of the membrane that surrounds the lungs and lines the thoracic cavity?",PLEURISY/PLEURITIS,SCIENCE,53,35,27,19,14,19,,25,1.6,3,PNEUMONIA,28,16-Nov-16
71-3-6,71,3,6,What word is obscured by the red box in this image? Click here,CRUISER,GAMES/SPORT,86,78,70,62,52,58,,65,1.2,3,FRIGATE,10,16-Nov-16
71-4-1,71,4,1,"American swimmer Michael Phelps holds the record for most career Olympic gold medals, with 23. Give the last name of any one of the five athletes who are tied for second place, with nine.","BOLT, LATYNINA, LEWIS, NURMI, SPITZ",GAMES/SPORT,89,84,80,69,58,64,,72,0.8,3.9,LOCHTE,6,17-Nov-16
71-4-2,71,4,2,"According to the lyrics of an international hit rock song from 1976, one can dial 36-24-36 to procure, at an affordable cost, what title service?",DIRTY DEEDS (DONE DIRT CHEAP),POP MUSIC,64,48,35,28,18,28,,33,1.5,3.9,BRICK HOUSE,6,17-Nov-16
71-4-3,71,4,3,"Ross, Filchner-Ronne, Amery, Larsen, Riiser-Larsen, Fimbul, Shackleton, and George VI are all geographical features associated with Antarctica. They are all a type of feature defined by what two-word term?",ICE SHELF,GEOGRAPHY,89,80,68,53,34,44,,57,1.4,3.9,,,17-Nov-16
71-4-4,71,4,4,"What great-granddaughter of Henry VII reigned as the Queen of England for nine days in 1553, before her forced abdication in favor of Mary I (and subsequent imprisonment in the Tower of London, and beheading)?",LADY JANE GREY,WORLD HIST,85,62,47,32,15,29,,40,1.6,3.9,ANNE,13,17-Nov-16
71-4-5,71,4,5,"In the film Marathon Man, what precisely is the three-word question Dr. Szell (Laurence Olivier) asks Babe (Dustin Hoffman) during his torturous interrogation with a dental probe?",IS IT SAFE?,FILM,64,43,35,26,13,22,,30,1.3,3.9,WHO ARE YOU?,11,17-Nov-16
71-4-6,71,4,6,"Hong lou meng, a 19th-century work by Cao Xueqin that is considered China's greatest novel, is usually translated to English in part as Dream of the Red what?",CHAMBER,LITERATURE,42,23,15,10,4,12,,15,2.1,3.9,DRAGON,26,17-Nov-16
71-5-1,71,5,1,"What is the name used for the modernist architectural style, pioneered by Philip Johnson, Ludwig Mies van der Rohe, the Bauhaus school, and others, that is characterized by architecture as volume (vs. mass), emphasis on regularity in the façade (vs. symmetry), and zero applied ornamentation? Dominant in the mid-20th century, the style took its name from a 1932 exhibition curated by Johnson and Henry-Russell Hitchcock at New York's Museum of Modern Art.",INTERNATIONAL STYLE,ART,39,24,14,9,4,8,,14,1.8,4.9,BRUTALISM,23,18-Nov-16
71-5-2,71,5,2,What Roman Catholic writer from (and of) the rural American South first achieved wide regard as a master of the short story form via her collection published in 1955 as A Good Man is Hard to Find?,FLANNERY O'CONNOR,LITERATURE,77,62,51,40,23,34,,44,1.5,4.9,HARPER LEE,8,18-Nov-16
71-5-3,71,5,3,"Jude Law, Philip Seymour Hoffman, and Jack Davenport played characters who were murdered (while Gwyneth Paltrow's and Cate Blanchett's were almost murdered) in what 1999 film?",THE TALENTED MR. RIPLEY,FILM,77,68,58,54,39,47,,54,0.7,4.9,,,18-Nov-16
71-5-4,71,5,4,"Ariel, Umbriel, Belinda, Titania, Oberon, Puck, Miranda, Caliban, Prospero, Ophelia, Cressida, Desdemona, Portia, and Rosalind, along with exactly thirteen others, are all names of what?",MOONS OF URANUS,SCIENCE,73,49,35,17,7,17,,28,1.4,4.9,MOONS,10,18-Nov-16
71-5-5,71,5,5,"The largest privately owned house in the United States was commissioned by George W. Vanderbilt and erected on a vast estate of 125,000 acres near Asheville, NC. Designed by Richard Morris Hunt and completed in the 1890s, the estate is known by what name?",BILTMORE,ART,76,62,54,44,36,45,,50,1.4,4.9,,,18-Nov-16
71-5-6,71,5,6,"What prolific patron of art, literature, and architecture was installed at Versailles in 1745, and for her final 20 years influenced state policy while assuming virtual control of public affairs during the reign of Louis XV?",MADAME DE POMPADOUR (JEAN ANTOINETTE POISSON),WORLD HIST,63,40,27,18,7,18,,25,1.8,4.9,MARIE ANTOINETTE,28,18-Nov-16
71-6-1,71,6,1,A portion of what company's logo is pictured here? Click here,STATE FARM,BUS/ECON,89,82,79,76,69,72,,77,0.9,2.8,,,21-Nov-16
71-6-2,71,6,2,"Varla, Rosie, and Billie are three wild, drag racing go-go dancers who are up to no good at all in what 1965 Russ Meyer cult classic?","FASTER, PUSSYCAT! KILL! KILL!",FILM,61,43,36,24,12,20,,29,1.7,2.8,VALLEY OF THE DOLLS,6,21-Nov-16
71-6-3,71,6,3,"The cities of Lübeck, Hamburg, Bremen, Riga, Königsberg, and Dortmund were among a confederation that was known collectively during the Late Middle Ages as what?",HANSEATIC LEAGUE,WORLD HIST,75,58,45,27,12,26,,35,2.2,2.8,PRUSSIA,9,21-Nov-16
71-6-4,71,6,4,Animals which are classified in the taxonomic class Asteroidea are most commonly known by what term?,STARFISH/SEA STARS,SCIENCE,89,76,67,52,32,48,,56,1.8,2.8,,,21-Nov-16
71-6-5,71,6,5,The Peshmerga are military forces which form a major part of the coalition in the offensive to retake the Iraq city of Mosul beginning in mid-October 2016. The Peshmerga are members of what Middle Eastern ethnic group?,KURDS,CURR EVENTS,97,95,91,82,67,76,,82,1.1,2.8,SUNNI,6,21-Nov-16
71-6-6,71,6,6,"During the weeknight primetime hours (8 to 11 pm ET), the Fox News Channel typically shows three hour-long news/talk programs. One is hosted by Bill O'Reilly; another is hosted by Sean Hannity. Who hosts the third?",MEGYN KELLY,TELEVISION,84,76,71,69,59,65,,69,1,2.8,GLENN BECK,6,21-Nov-16
71-7-1,71,7,1,"Per the information on its packaging and in its marketing, what type of cake is used to produce a Hostess Twinkie?",(GOLDEN) SPONGE CAKE,FOOD/DRINK,83,75,68,58,51,58,,63,0.7,3.4,ANGEL FOOD,14,22-Nov-16
71-7-2,71,7,2,"The world's first woman to be democratically elected as chief of state was Vigdís Finnbogadóttir, who served as what nation's president beginning in August 1980?",ICELAND,LANGUAGE,96,91,86,72,50,64,,73,1.1,3.4,FINLAND,11,22-Nov-16
71-7-3,71,7,3,"What Norwegian's last name comes next in this chronological list? Spassky, Fischer, Karpov, Kasparov, Karpov, Khalifman, Anand, Ponomariov, Kasimdzhanov, Topalov, Kramnik, Anand, _________.",(MAGNUS) CARLSEN,GAMES/SPORT,58,44,29,21,13,16,,27,1.9,3.4,,,22-Nov-16
71-7-4,71,7,4,A debilitating 1984-85 coal miners strike and its effects on a working-class community in County Durham in northeast England provide a crisis central to the story of what Broadway musical (and the movie on which it is based)?,BILLY ELLIOT: THE MUSICAL,THEATRE,64,53,49,39,29,38,,43,1.1,3.4,THE FULL MONTY,22,22-Nov-16
71-7-5,71,7,5,"Sufferers of a particular hereditary degenerative disorder of connective tissue, bones, ligament, and muscles tend to be tall and thin with long limbs and digits, and have included Olympic volleyball player Flo Hyman, Rent composer Jonathan Larson, actor Vincent Schiavelli, and possibly Akhenaten and Abe Lincoln (but, conspiracy theories aside, probably not Osama bin Laden). What is this syndrome, named after a late-19th/early-20th-century French pediatrician?",MARFAN SYNDROME,SCIENCE,81,66,55,44,26,41,,48,1.7,3.4,,,22-Nov-16
71-7-6,71,7,6,"With works that include the quartet ""Death and the Maiden,"" the song cycle Die schöne Müllerin, and several symphonies (some completed; others unfinished), the output of this great Austrian melodist is vast—notably so, given his premature death at age 31.",FRANZ SCHUBERT,CLASS MUSIC,75,57,42,30,14,28,,36,2.1,3.4,MOZART,16,22-Nov-16
71-8-1,71,8,1,"Although it was used by Nazi propaganda minister Joseph Goebbels about the Soviet Union and was in use elsewhere, what term's popularity in its Cold War definition is credited to a March 1946 speech by Winston Churchill at Westminster College in Missouri?",IRON CURTAIN,WORLD HIST,96,91,88,76,58,67,,76,0.9,3.2,,,28-Nov-16
71-8-2,71,8,2,Only once in the history of tennis has a player (man or woman) achieved the Golden Slam—winning all four Grand Slam singles titles as well as an Olympic gold medal in singles in the same calendar year. Who accomplished this feat in 1988?,STEFFI GRAF,GAMES/SPORT,77,62,52,42,31,36,,46,1.5,3.2,ANDRE AGASSI,9,28-Nov-16
71-8-3,71,8,3,"In a well-known centuries-old proverb, what comes first in a sequence that includes shoe, horse, rider, message, battle, and kingdom?",NAIL,LITERATURE,73,58,51,35,20,28,,40,1.5,3.2,,,28-Nov-16
71-8-4,71,8,4,"Magnesium sulfate, and specifically a heptahydrate sulfate mineral with the formula MgSO4·7H2O, is commonly associated with what town in Surrey, England, due to the mineral spring there that produced the bitter and colorless inorganic compound?",EPSOM,SCIENCE,75,54,34,21,9,22,,31,1.9,3.2,BATH,23,28-Nov-16
71-8-5,71,8,5,"According to the press from the FX network of a television series created by and starring Donald Glover, ""Two cousins work through the __________ music scene in order to better their lives and the lives of their families."" What fills in this blank of this quote, and also serves as the series's title?",ATLANTA,TELEVISION,77,71,62,60,48,55,,60,0.9,3.2,HIP HOP,7,28-Nov-16
71-8-6,71,8,6,"While there are other candidates, including Dongbei and Guandong, what is the name most often used for the region in northeast China that comprises the provinces of Liaoning, Jilin, and Heilongjiang and forms the entirety of the Chinese border with North Korea?",MANCHURIA,GEOGRAPHY,68,57,44,32,20,30,,38,1.9,3.2,SZECHUAN,7,28-Nov-16
71-9-1,71,9,1,"In most English versions of the Bible (including the King James version), the 23rd psalm of the Old Testament begins with what five words?",THE LORD IS MY SHEPHERD,LIFESTYLE,92,81,73,57,40,54,,62,1,3.7,,,29-Nov-16
71-9-2,71,9,2,A July festival honoring Saint Fermín is a popular event in what ancient Basque city and capital of the Spanish autonomous community of Navarre?,PAMPLONA,GEOGRAPHY,79,63,49,34,21,33,,42,1.6,3.7,BARCELONA,10,29-Nov-16
71-9-3,71,9,3,Pictured here is exactly the left-most 1/3 of a painting by what artist? Click here,JAMES ABBOTT MCNEILL WHISTLER,ART,78,70,64,50,32,41,,52,1.9,3.7,,,29-Nov-16
71-9-4,71,9,4,"A popular 1961 novel by Scottish writer Muriel Spark tells of the ""prime"" (and the downfall) of what eccentric and revered Edinburgh schoolteacher?",MISS JEAN BRODIE,LITERATURE,73,59,47,36,18,32,,40,1.8,3.7,,,29-Nov-16
71-9-5,71,9,5,"Il Buono, Il Brutto, Il Cattivo is most often seen translated into English as what?","THE GOOD, THE BAD AND THE UGLY",FILM,98,95,93,86,73,79,,85,0.7,3.7,"I CAME, I SAW, I CONQUERED",8,29-Nov-16
71-9-6,71,9,6,"What is the technical term, from the Latin for ""decayed"" or ""rotten,"" used in dentistry for the gradual breakdown and disintegration of a tooth due to bacteria? Commonly known as cavities, it's an ailment believed to afflict the vast majority of the world's population.",CARIES,SCIENCE,62,47,35,26,15,27,,32,1.7,3.7,GINGIVITIS,15,29-Nov-16
71-10-1,71,10,1,This montage contains photographs by what Danish-born social justice reformer and police reporter for the  New York Tribune? Click here,JACOB RIIS,ART,62,44,32,22,11,19,,28,2,3.8,,,30-Nov-16
71-10-2,71,10,2,Name the 1974 film loosely inspired by the real-life story of farmer and handyman Ed Gein (although Gein himself lived his entire life in Wisconsin).,THE TEXAS CHAIN SAW MASSACRE (also DERANGED),FILM,68,59,42,34,21,32,,39,1.1,3.8,,,30-Nov-16
71-10-3,71,10,3,"1990's I'm Your Baby Tonight was what artist's first full-length album not to reach #1 on the Billboard 200 album chart, as well as her first not to be titled eponymously?",WHITNEY HOUSTON,POP MUSIC,81,69,53,49,38,48,,53,1.2,3.8,MADONNA,14,30-Nov-16
71-10-4,71,10,4,"What prefix, which is derived from the Greek for ""deep,"" precedes ""-scaphe"" and ""-sphere"" in terms for vessels used to explore the ocean depths?",BATHY,SCIENCE,86,76,66,51,28,43,,54,1.3,3.8,SUB,7,30-Nov-16
71-10-5,71,10,5,"A particular political movement, formed between 1945 and 1946 and still strong today, and formally labeled justicialismo in 1949, has transformed and modified over the years but is a general amalgam of populist nationalism, social democracy, and economic independence. Perhaps mostly, it can be described as loyalty to what person (and his memory), after whom the movement is also commonly named?",JUAN PERÓN,WORLD HIST,72,52,36,24,10,27,,32,1.6,3.8,FRANCO,7,30-Nov-16
71-10-6,71,10,6,"Which African country has the continent's longest coastline on the Atlantic Ocean, running from the mouth of the Congo River in the north to the Namibian border on the Kunene River in the south (plus an exclave to the north)?",ANGOLA,GEOGRAPHY,83,71,59,42,22,39,,48,1.5,3.8,NIGERIA,8,30-Nov-16
71-11-1,71,11,1,Identify this woman. Click here,SHERYL SANDBERG,BUS/ECON,74,66,61,55,46,52,,57,1.1,3.7,,,1-Dec-16
71-11-2,71,11,2,"The Prix Renaudot, Prix Goncourt, and Prix Femina are all prizes awarded annually in what field?",LITERATURE,LITERATURE,61,44,29,22,13,23,,28,2,3.7,COOKING,9,1-Dec-16
71-11-3,71,11,3,"Custer National Cemetery is located within Little Bighorn Battlefield National Monument, which itself is in Big Horn County, in what state?",MONTANA,GEOGRAPHY,78,62,49,38,27,37,,44,1.1,3.7,SOUTH DAKOTA,26,1-Dec-16
71-11-4,71,11,4,"Four Green Dragons, four Red Dragons, four White Dragons, four North Winds, four East Winds, four South Winds, and four West Winds: this ""Honor"" set of 28 is associated with what game?",MAH-JONGG,GAMES/SPORT,78,68,60,50,36,46,,53,1.5,3.7,DUNGEONS AND DRAGONS,12,1-Dec-16
71-11-5,71,11,5,"Following the attacks of September 11, 2001, the first major Afghan city to fall to the U.S. Special Forces-backed Northern Alliance was what strategically important city in the far northern Balkh province, roughly 200 miles northwest of Kabul?",MAZAR-I-SHARIF,WORLD HIST,21,10,6,5,2,6,,7,1.9,3.7,KANDAHAR,32,1-Dec-16
71-11-6,71,11,6,"A 1983 strategy game for the Atari 8-bit family; a 1981 film credited with launching (or at least boosting) the film careers of Patrick Stewart, Helen Mirren, Liam Neeson, and others; and a hotel and casino in Las Vegas are all named after what weapon?",EXCALIBUR,LIFESTYLE,90,83,72,62,47,55,,65,1.1,3.7,,,1-Dec-16
71-12-1,71,12,1,"What term is used in mathematics to describe a number that divides exactly into the difference between two given numbers (relevant to mathematical congruence)? The term is also used for the multiplication factor that converts a logarithm of one base to a logarithm of another base, as well as being another name for absolute value.",MODULUS,MATH,34,23,15,10,8,12,,15,1.7,5.5,MAGNITUDE,6,2-Dec-16
71-12-2,71,12,2,"What singer-songwriter's fourth studio album was titled Yes I Am, in an apparent and proudly bold response to questions from much of her earlier career involving her personal life?",MELISSA ETHERIDGE,POP MUSIC,82,68,57,51,36,48,,54,1.1,5.5,KD LANG,9,2-Dec-16
71-12-3,71,12,3,"Separate from flaps and spoilers, the hinged surfaces on the back edge of airplane wings which are moved up and down to create uneven lift and thus control the plane's rolling and tilting movements are known as what?",AILERONS,SCIENCE,68,55,43,34,22,34,,39,1.4,5.5,RUDDERS,8,2-Dec-16
71-12-4,71,12,4,"Identify the term, first used by financial journalist and investor Alfred Winslow Jones in the mid-20th century and still not clearly defined, which is closely associated with Steve Cohen, Daniel Loeb, John Paulson, Bill Ackman, Ken Griffin, David Tepper, and George Soros, among others.",HEDGE FUND,BUS/ECON,68,54,43,32,22,31,,38,1.1,5.5,,,2-Dec-16
71-12-5,71,12,5,"Mousseline, also known as sauce Chantilly, is a variation of hollandaise which includes the addition of what ingredient?",(WHIPPED) CREAM,FOOD/DRINK,63,50,40,32,21,36,,37,1.2,5.5,CHOCOLATE,9,2-Dec-16
71-12-6,71,12,6,"The ebullient Young Person's Guide to the Orchestra is the work of what 20th-century composer, arguably Britain's most celebrated since Sir Edward Elgar?",BENJAMIN BRITTEN,CLASS MUSIC,67,48,38,25,12,25,,32,2,5.5,ANDREW LLOYD WEBBER,6,2-Dec-16
71-13-1,71,13,1,"A regulatory commission was established in Europe in 1948, currently headquartered in Budapest, Hungary, and including only fellow riparian nations, for the common purpose of improving, maintaining, and safeguarding free navigation of what?",DANUBE RIVER,GEOGRAPHY,77,70,63,50,32,39,,52,1.3,3.5,,,5-Dec-16
71-13-2,71,13,2,"1944's Hoosick Falls in Winter is among the works painted during the 23-year career of what American artist, who died in December 1961 at age 101?",GRANDMA MOSES,ART,82,66,54,37,20,32,,44,1.8,3.5,NORMAN ROCKWELL,11,5-Dec-16
71-13-3,71,13,3,The first parliamentary democracy was officially created in Germany with the signing into law of the Constitution of the German Reich by SDP member and provisional president of the German Reichstag (and chancellor-to-be) Friedrich Ebert. The signing took place in 1919 in what city?,WEIMAR (SCHWARZBURG),WORLD HIST,72,52,39,27,12,26,,33,1.5,3.5,MUNICH,16,5-Dec-16
71-13-4,71,13,4,"What Hindi word, adopted into English and very common on menus of Indian restaurants, has much the same meaning as kebab, referring to small chunks of grilled meat (usually)?",TIKKA,FOOD/DRINK,50,44,35,30,23,30,,33,0.9,3.5,TANDOORI,18,5-Dec-16
71-13-5,71,13,5,"Rewrite the following sentence, changing the verb to past perfect progressive: I think.",I HAD BEEN THINKING,LANGUAGE,69,54,44,34,22,37,,40,1.3,3.5,I WAS THINKING,15,5-Dec-16
71-13-6,71,13,6,"Wandsworth, Brixton, Wakefield, Wormwood Scrubs, Albany, Long Lartin, and Parkhurst are all British examples of what?",PRISONS,LIFESTYLE,53,39,23,14,7,17,,22,1.9,3.5,,,5-Dec-16
71-14-1,71,14,1,"What U.S. city, which had a population of around 287,000 in the 2010 census, shares a name with a province and historical city of Spain?",TOLEDO,GEOGRAPHY,87,78,71,55,34,47,,58,1.5,3.5,,,6-Dec-16
71-14-2,71,14,2,"The controversial (to say the least) proviso to ban slavery within land acquired during the Mexican War was introduced in 1846 by what Pennsylvania Congressman? While it was never passed into law, it is credited with helping to bring about the eventual collapse of the Whigs and the later emergence of the Republican Party.",DAVID WILMOT,AMER HIST,55,35,23,15,6,15,,21,2,3.5,,,6-Dec-16
71-14-3,71,14,3,"Ismail and James are the first names of what iconic and distinctive filmmaking duo, whose names have come to represent a certain style of film beyond those they themselves produced that are similar in manner and gentility?",MERCHANT IVORY,FILM,74,55,45,32,14,27,,37,1.4,3.5,COEN BROTHERS,16,6-Dec-16
71-14-4,71,14,4,"In business, what is the most common term for the current asset designation, reported on a company's balance sheet, which represents the amount owed to the company by its customers or debtors in the short term? It is often (but not necessarily) accompanied by the word ""accounts""?",RECEIVABLES,BUS/ECON,77,69,62,57,49,54,,59,1.2,3.5,PAYABLE,12,6-Dec-16
71-14-5,71,14,5,The fictional woodcutter Ali Baba's life turns rich and prosperous thanks mostly to what phrase?,"OPEN, SESAME",LITERATURE,96,91,88,80,61,71,,79,0.9,3.5,ABRACADABRA,8,6-Dec-16
